,type,seed,difficulty,peephole_lstm_xs,peephole_lstm_s,peephole_lstm_m,open_lstm_xs,open_lstm_s,open_lstm_m,input_lstm_xs,input_lstm_s,input_lstm_m,lstm_xs,lstm_s,lstm_m,last_value_loss,entropy
623,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,624,63,0.017109258100390434,0.018916752189397812,0.017927519977092743,0.014597883448004723,0.020349573343992233,0.013939784839749336,0.014208911918103695,0.01333759818226099,0.015436997637152672,0.01573592983186245,0.016829926520586014,0.014748110435903072,0.013229050673544407,3.032590124774899
624,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,625,63,0.024462856352329254,0.021732738241553307,0.026083946228027344,0.02156970649957657,0.021616391837596893,0.019961507990956306,0.023114707320928574,0.01846129447221756,0.02048850618302822,0.030908958986401558,0.027060983702540398,0.022869262844324112,0.018414486199617386,3.1076455191326726
625,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,626,63,0.043440014123916626,0.039922963827848434,0.049916528165340424,0.03894466161727905,0.03896571695804596,0.036640241742134094,0.03659479320049286,0.03551919385790825,0.03621095046401024,0.04416586086153984,0.03652108088135719,0.03708428516983986,0.03520168736577034,3.1608229602781206
626,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,627,63,0.0009829598711803555,0.0007945528486743569,0.0007528889109380543,0.002143491292372346,0.003923445474356413,0.0007315027760341763,0.000506904732901603,0.00039970697253011167,0.0003887677157763392,0.0035535565111786127,0.001067077275365591,0.0003755468060262501,0.0003125011862721294,2.7923327182864943
627,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,628,63,0.035475630313158035,0.033158764243125916,0.03701728954911232,0.033536653965711594,0.03209385648369789,0.031616292893886566,0.032532643526792526,0.030029959976673126,0.03044336475431919,0.03406652435660362,0.0324278362095356,0.05986493453383446,0.029500149190425873,3.1170867015107664
628,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,629,63,0.022848637774586678,0.021533355116844177,0.02405950054526329,0.021852383390069008,0.021984195336699486,0.020606985315680504,0.02043653093278408,0.019575990736484528,0.020800301805138588,0.02267003059387207,0.02622748166322708,0.026790164411067963,0.019409574568271637,3.030499786885914
629,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,630,63,0.017907006666064262,0.012608139775693417,0.018396014347672462,0.01547918189316988,0.016215665265917778,0.012120682746171951,0.012348358519375324,0.013881077989935875,0.012881260365247726,0.017351580783724785,0.01728178933262825,0.023967808112502098,0.011651042848825455,3.0656282503436048
630,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,631,64,0.03078923374414444,0.01582767441868782,0.02344231866300106,0.01629154570400715,0.019457506015896797,0.017439531162381172,0.039541956037282944,0.01583070121705532,0.016402240842580795,0.031286388635635376,0.0542556494474411,0.01589747704565525,0.014511803165078163,3.1933636036242294
631,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,632,64,0.04800534248352051,0.04193029925227165,0.059046171605587006,0.05321965366601944,0.038432493805885315,0.04208868369460106,0.03837430849671364,0.03689662739634514,0.04345026612281799,0.03969759866595268,0.03904762864112854,0.06296256929636002,0.0368361622095108,3.227949256619909
632,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,633,64,0.014978158287703991,0.014917888678610325,0.015615311451256275,0.02148834615945816,0.012858537025749683,0.013056866824626923,0.01305136177688837,0.012302955612540245,0.012289399281144142,0.013790450058877468,0.020683936774730682,0.020247258245944977,0.011405539698898792,3.0968125866443104
633,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,634,64,0.016245093196630478,0.01578495092689991,0.021212143823504448,0.02186831459403038,0.013405799865722656,0.013066968880593777,0.01766606979072094,0.012652100063860416,0.013393264263868332,0.014931460842490196,0.033290524035692215,0.01707920990884304,0.012410744093358517,2.605615809755664
634,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,635,64,0.03861696273088455,0.030469615012407303,0.039778608828783035,0.03374297544360161,0.03256421536207199,0.02946922741830349,0.029890382662415504,0.028506269678473473,0.0316120870411396,0.03465402498841286,0.04894756153225899,0.04299752414226532,0.028321128338575363,3.1887105528011856
635,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,636,64,0.03894859924912453,0.028560476377606392,0.037541989237070084,0.04199265316128731,0.02776063047349453,0.024092726409435272,0.024268636479973793,0.023691358044743538,0.02374175749719143,0.025569027289748192,0.025645196437835693,0.04203896224498749,0.02298264019191265,2.9927845996879365
636,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,637,64,0.053163785487413406,0.05595798417925835,0.07004547864198685,0.047005996108055115,0.050759464502334595,0.04723381996154785,0.04858972504734993,0.04489653930068016,0.04695231840014458,0.06815791875123978,0.0478084459900856,0.07467661052942276,0.04437719285488129,2.8100409770096344
