,type,seed,difficulty,open_lstm_m,input_lstm_m,last_value_loss,entropy
292,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,293,30,0.010793180204927921,0.005642253905534744,0.0018777656368911266,2.0837366718409123
293,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,294,30,0.001965736038982868,0.06258660554885864,0.0013667945750057697,2.1484447434259413
294,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,295,30,0.006431214045733213,0.008827140554785728,0.0019966743420809507,1.8726869935008361
295,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,296,30,0.0068633719347417355,0.0026796169113367796,0.0026657371781766415,2.1022394919528975
296,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,297,30,0.003929721191525459,0.003906357102096081,0.002836639992892742,2.0119239075794555
297,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,298,30,0.04475808143615723,0.023307431489229202,0.006045118439942598,2.0140132886267033
298,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,299,30,0.018362103030085564,0.013297563418745995,0.002546971431002021,1.544664042009155
299,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,300,30,0.008261943235993385,0.009609479457139969,0.0008907841984182596,2.2862421015378467
300,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,301,31,0.041867006570100784,0.02965410426259041,0.0035130458418279886,2.5907192603533775
301,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,302,31,0.008549069985747337,0.002724217250943184,0.003246297826990485,2.3872241028414978
302,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,303,31,0.005107275675982237,0.0035896971821784973,0.002222704701125622,2.3060253925072005
303,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,304,31,0.010982946492731571,0.00696429330855608,0.004374849144369364,2.3524434434433177
304,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,305,31,0.004012960009276867,0.005292232148349285,0.00460202107205987,2.232350776487175
305,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,306,31,0.009536714293062687,0.009614999406039715,0.0016154616605490446,2.2170079334166783
306,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,307,31,0.012032045051455498,0.012361780740320683,0.003396205371245742,2.263745542734009
307,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,308,31,0.003742528147995472,0.005744117312133312,0.0014784288359805942,1.9085040042901844
308,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,309,31,0.0058890883810818195,0.006642326712608337,0.003830615198239684,2.69782762159716
309,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,310,31,0.001788873109035194,0.002299621468409896,0.0010689154732972383,2.385715765014188
310,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,311,32,0.03402731567621231,0.014579403214156628,0.00208703032694757,1.9884223722904055
311,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,312,32,0.029184836894273758,0.008010299876332283,0.003981912042945623,2.7117821993061018
312,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,313,32,0.0027755293995141983,0.0307588130235672,0.004663841798901558,2.4697867189593627
313,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,314,32,0.008843602612614632,0.006343340966850519,0.0033629864919930696,2.361083017728304
314,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,315,32,0.009066540747880936,0.0016192751936614513,0.0012213551672175527,2.1814856827049023
315,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,316,32,0.05263885483145714,0.040801361203193665,0.002740383381024003,2.022459163093029
316,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,317,32,0.024644723162055016,0.03234289586544037,0.0035261833108961582,1.955977387957767
317,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,318,32,0.003245694562792778,0.004613605327904224,0.0020169364288449287,2.225190136177012
318,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,319,32,0.006767991930246353,0.0035496887285262346,0.0020133417565375566,2.30332504756523
319,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,320,32,0.007563086226582527,0.007393731269985437,0.003928020130842924,2.627765210323006
320,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,321,33,0.002318489598110318,0.0022787887137383223,0.002164247678592801,2.219882084809768
